ticker,sector
MWET4.SA,Consumer Cyclical
BRSR3.SA,Financial Services
BDIF11.SA,Unknown
BBDC3.SA,Financial Services
G1LP34.SA,Healthcare
CSAN3.SA,Energy
BRAP4.SA,Financial Services
STOC31.SA,Technology
VALE3.SA,Basic Materials
A1AP34.SA,Consumer Cyclical
CSED3.SA,Consumer Defensive
SMAC11.SA,Unknown
DHER34.SA,Healthcare
BBDC4.SA,Financial Services
RNEW11.SA,Utilities
BRSR6Q.SA,Unknown
BURT39.SA,Unknown
AGRI11.SA,Unknown
KIVO11.SA,Unknown
RBIF11.SA,Unknown
DIRR3.SA,Real Estate
DMVF3.SA,Healthcare
SCVB11.SA,Unknown
COGN3.SA,Consumer Defensive
CTKA4.SA,Consumer Cyclical
BREW11.SA,Unknown
ENEV3.SA,Utilities
JALL3.SA,Consumer Defensive
CBOP11.SA,Financial
BRAZ11.SA,Unknown
BXPO11.SA,Unknown
NDIV11.SA,Unknown
NSDV11.SA,Unknown
TECN3.SA,Consumer Cyclical
PETR4.SA,Energy
BLBT39.SA,Unknown
ENGI11.SA,Utilities
XINA11.SA,Unknown
BDOM11.SA,Unknown
ESGB11.SA,Unknown
SMFT3.SA,Consumer Cyclical
FIIP11.SA,Unknown
SMAB11.SA,Unknown
ROMI3.SA,Industrials
OSXB3.SA,Energy
XPBR31.SA,Financial Services
HBRE3.SA,Real Estate
ITUB3.SA,Financial Services
GFSA3.SA,Consumer Cyclical
RNDP11.SA,Financial
BEEF3.SA,Consumer Defensive
BCHI39.SA,Unknown
TRIS3.SA,Real Estate
ELAS11.SA,Unknown
P2AT34.SA,Technology
CSNA3.SA,Basic Materials
BCPX39.SA,Unknown
FPAB11.SA,Real Estate
DVER11.SA,Unknown
PSSA3.SA,Financial Services
CVCB3.SA,Consumer Cyclical
CMDB11.SA,Unknown
BGIP4.SA,Financial Services
NBOV11.SA,Unknown
HAGA4.SA,Industrials
BSHY39.SA,Unknown
BAAX39.SA,Unknown
RANI3.SA,Consumer Cyclical
AERI3.SA,Industrials
VULC3.SA,Consumer Cyclical
SMAL11.SA,Unknown
BOVS11.SA,Unknown
BOVB11.SA,Unknown
BBSE3.SA,Financial Services
P2AX34.SA,Financial Services
PIBB11.SA,Unknown
BOVX11.SA,Unknown
BBOV11.SA,Unknown
ISUS11.SA,Unknown
SPVT11.SA,Unknown
EVEN3.SA,Real Estate
TGMA3.SA,Industrials
B3BR11.SA,Unknown
ABCB4.SA,Financial Services
WHRL3.SA,Consumer Cyclical
D2KN34.SA,Consumer Cyclical
E1TN34.SA,Industrials
DIVD11.SA,Unknown
UNIP6.SA,Basic Materials
SUZB3.SA,Basic Materials
IBMB34.SA,Technology
B1IL34.SA,Communication Services
BOVV11.SA,Unknown
NUTR3.SA,Basic Materials
ZAMP3.SA,Consumer Cyclical
IBOB11.SA,Unknown
EAIN34.SA,Communication Services
INBR32.SA,Financial Services
XBOV11.SA,Unknown
ARXD11.SA,Unknown
BTAG11.SA,Unknown
LVOL11.SA,Unknown
BTYU11.SA,Unknown
MDIA3.SA,Consumer Defensive
BDEF11.SA,Unknown
BPAC3.SA,Financial Services
BPAC11.SA,Financial Services
BOVA11.SA,Unknown
BLAU3.SA,Healthcare
EQPA3.SA,Utilities
GOLL4.SA,Industrials
Z2SC34.SA,Unknown
ARMT34.SA,Basic Materials
BMKS3.SA,Consumer Cyclical
KFOF11.SA,Financial
BMMT11.SA,Unknown
PPEI11.SA,Unknown
SPUB11.SA,Unknown
Y2PF34.SA,Energy
GOVE11.SA,Unknown
BIWF39.SA,Unknown
VIVT3.SA,Communication Services
U2ST34.SA,Technology
G1DS34.SA,Technology
BRAX11.SA,Unknown
XPLG11.SA,Unknown
T1AL34.SA,Consumer Defensive
JSLG3.SA,Industrials
S2EA34.SA,Consumer Cyclical
ALUP3.SA,Utilities
AZPL11.SA,Unknown
N1RG34.SA,Utilities
TASA4.SA,Industrials
C1OG34.SA,Energy
C1RH34.SA,Unknown
TEXA34.SA,Technology
PHGN34.SA,Technology
FESA4.SA,Basic Materials
BIEM39.SA,Unknown
ITSA3.SA,Industrials
POSI3.SA,Technology
DASA3.SA,Healthcare
RFOF11.SA,Unknown
BILB34.SA,Financial Services
T1AM34.SA,Technology
VVCR11.SA,Unknown
CMIG4.SA,Utilities
S1YK34.SA,Healthcare
CRPG6.SA,Basic Materials
LOGN3.SA,Industrials
C1GP34.SA,Real Estate
BPIC39.SA,Unknown
BRST3.SA,Communication Services
S2TA34.SA,Real Estate
GGBR4.SA,Basic Materials
L2AZ34.SA,Unknown
CAML3.SA,Consumer Defensive
QUAL3.SA,Healthcare
TFCO4.SA,Consumer Cyclical
PLCR11.SA,Unknown
SAPI11.SA,Unknown
AMER3.SA,Consumer Cyclical
HYPE3.SA,Healthcare
BBSD11.SA,Unknown
KNRI11.SA,Financial
BOXP34.SA,Real Estate
MEAL3.SA,Consumer Cyclical
ALOS3.SA,Real Estate
Z1TO34.SA,Industrials
CMIG3.SA,Utilities
ISAE4.SA,Utilities
RIGG34.SA,Energy
T1EV34.SA,Healthcare
CXCE11.SA,Unknown
M1LM34.SA,Basic Materials
SNCI11.SA,Unknown
LIGT3.SA,Utilities
WEGE3.SA,Industrials
TRNT11.SA,Unknown
PACB11.SA,Unknown
N1WL34.SA,Consumer Defensive
W1MG34.SA,Communication Services
AROA11.SA,Unknown
WEST3.SA,Consumer Cyclical
SHPH11.SA,Financial
E1WL34.SA,Healthcare
A1LB34.SA,Basic Materials
TIRB11.SA,Unknown
P2ST34.SA,Unknown
ETER3.SA,Industrials
J1EF34.SA,Financial Services
BLMG11.SA,Unknown
LVTC3.SA,Communication Services
OPCT3.SA,Industrials
JBSS3.SA,Consumer Defensive
EQTL3.SA,Utilities
SBSP3.SA,Utilities
C1PR34.SA,Industrials
JDCO34.SA,Consumer Cyclical
ALPA4.SA,Consumer Cyclical
RPRI11.SA,Unknown
BMEB3.SA,Financial Services
UNIP3.SA,Basic Materials
BITO39.SA,Unknown
PORT3.SA,Industrials
ORVR3.SA,Industrials
BRCO11.SA,Unknown
ABEV3.SA,Consumer Defensive
BEWA39.SA,Unknown
VILG11.SA,Financial
FIXA11.SA,Unknown
PICE11.SA,Unknown
JSCR11.SA,Unknown
MILS3.SA,Industrials
B1SA34.SA,Financial Services
CLSC4.SA,Utilities
CBAV3.SA,Basic Materials
LVBI11.SA,Real Estate
MELI34.SA,Consumer Cyclical
H2UB34.SA,Technology
PVBI11.SA,Unknown
TASA3.SA,Industrials
Q1UA34.SA,Industrials
TCSA3.SA,Real Estate
SRNA3.SA,Utilities
TAEE4.SA,Utilities
CORN11.SA,Unknown
C1NC34.SA,Healthcare
C1NS34.SA,Basic Materials
ALLD3.SA,Technology
SLCE3.SA,Consumer Defensive
NEOE3.SA,Utilities
BSIL39.SA,Unknown
BRCR11.SA,Real Estate
IRDM11.SA,Unknown
KORE11.SA,Unknown
S1RE34.SA,Utilities
FCXO34.SA,Basic Materials
RVBI11.SA,Unknown
TLNC34.SA,Communication Services
MTRE3.SA,Real Estate
IB5M11.SA,Unknown
CSCO34.SA,Technology
PACG11.SA,Unknown
LAND3.SA,Consumer Defensive
IFRA11.SA,Unknown
BRBI11.SA,Financial Services
TXSA34.SA,Basic Materials
Z1BR34.SA,Technology
IDKA11.SA,Unknown
CPSH11.SA,Real Estate
BIHF39.SA,Unknown
KNHF11.SA,Unknown
S2HO34.SA,Technology
MYPK3.SA,Consumer Cyclical
TAEE11.SA,Utilities
SNAG11.SA,Unknown
P2LT34.SA,Technology
MACY34.SA,Consumer Cyclical
B5MB11.SA,Unknown
FLRP11.SA,Unknown
NCHB11.SA,Unknown
AIEC11.SA,Unknown
ETHA39.SA,Unknown
FRAS3.SA,Consumer Cyclical
QDFI11.SA,Unknown
BSOX39.SA,Unknown
PETR3.SA,Energy
SAPR11.SA,Utilities
